Unnamed: 0.1,Unnamed: 0,Spanish,English
406,410,grupo,group
407,411,asunto,matter
408,412,mensaje,message
409,413,encima,above
410,414,atención,attention
411,415,diferente,different
412,416,callar,to be quiet
413,417,daño,damage
414,418,suceder,to happen
415,419,cambiar,to change
416,420,siguiente,next
417,421,sino,but
418,422,médico,doctor
419,423,boca,mouth
420,424,error,mistake
421,425,jamás,never
422,426,largo,long
423,427,pena,sorrow
424,428,voz,voice
425,429,futuro,future
426,430,secreto,secret
427,431,baño,bathroom
428,432,mil,thousand
429,433,novia,girlfriend
430,434,propio,own
431,435,sueño,dream
432,436,fuerza,strength
433,437,ambos,both
434,438,dolor,pain
435,439,encantar,to love
436,440,edad,age
437,441,pie,foot
438,442,negro,black
439,443,ganar,to win
440,444,aire,air
441,445,lamentar,to regret
442,446,adónde,where
443,447,disculpar,to forgive
444,448,cita,appointment
445,449,sistema,system
446,450,gusto,taste
447,451,pobre,poor
448,452,negocio,business
449,453,mente,mind
450,454,tuyo,yours
451,455,campo,countryside
452,456,situación,situation
453,457,tras,behind
454,458,hotel,hotel
455,459,vosotros,you all (informal)
456,460,funcionar,to function
457,461,foto,photo
458,462,abogado,lawyer
459,463,alrededor,around
460,464,próximo,next
461,465,terminar,to finish
462,466,pagar,to pay
463,467,personal,personal
464,468,ocurrir,to occur
465,469,mitad,half
466,470,pelo,hair
467,471,oficial,officer
468,472,compañía,company
469,473,relación,relationship
470,474,montón,a lot
471,475,cena,dinner
472,476,través,across
473,477,accidente,accident
474,478,caja,box
475,479,tranquilo,calm
476,480,bonito,pretty
477,481,vista,view
478,482,estúpido,stupid
479,483,línea,line
480,484,caballero,gentleman
481,485,tienda,store
482,486,comprar,to buy
483,487,centro,center
484,488,salvo,except
485,489,sol,sun
486,490,tonto,fool
487,491,hambre,hunger
488,492,mesa,table
489,493,respuesta,answer
490,494,completamente,completely
491,495,carta,letter
492,496,totalmente,totally
493,497,imposible,impossible
494,498,novio,boyfriend
495,499,normal,normal
496,500,traje,suit
497,501,dirección,address
498,502,siete,seven
499,503,placer,pleasure
500,504,barco,ship
501,505,blanco,white
502,506,profesor,teacher
503,507,servicio,service
504,508,muchacho,boy
506,510,ley,law
507,511,programa,program
508,512,carrera,career
509,513,cumpleaños,birthday
510,514,canción,song
511,515,hermoso,beautiful
512,516,universidad,university
513,517,boda,wedding
514,518,cualquiera,anyone
515,519,sala,room
516,520,decisión,decision
517,521,don,gift
518,522,necesario,necessary
519,523,prisa,hurry
520,524,embargo,embargo
521,525,abuela,grandmother
522,526,detective,detective
523,527,horrible,horrible
524,528,suelo,ground
525,529,cárcel,jail
526,530,acá,here
527,531,sentar,to sit
528,532,intentar,to try
529,533,maldición,curse
530,534,silencio,silence
531,535,capaz,able
532,536,club,club
533,537,temer,to fear
534,538,broma,joke
535,539,gobierno,government
536,540,prometer,to promise
537,541,cámara,camera
538,542,terrible,terrible
539,543,regalo,gift
540,544,amable,kind
541,545,dulce,sweet
542,546,ataque,attack
543,547,navidad,Christmas
544,548,ocho,eight
545,549,avión,airplane
546,550,investigación,investigation
547,551,jurar,to swear
548,552,mantener,to maintain
549,553,ejército,army
550,554,papel,paper
551,555,gracioso,funny
553,557,delante,in front
554,558,teniente,lieutenant
555,559,deseo,desire
556,560,nave,ship
557,561,basura,trash
558,562,contacto,contact
559,563,esposo,husband
560,564,tren,train
561,565,verdadero,TRUE
562,566,alma,soul
563,567,disculpa,apology
564,568,andar,to walk
565,569,matrimonio,marriage
566,570,locura,madness
567,571,oro,gold
568,572,permiso,permission
569,573,director,director
570,574,peligro,danger
571,575,libertad,freedom
572,576,alegrar,to cheer
573,577,bajar,to go down
574,578,derecha,right
575,579,maravilloso,wonderful
576,580,espacio,space
577,581,rato,moment
578,582,abuelo,grandfather
579,583,salud,health
580,584,sorpresa,surprise
581,585,triste,sad
582,586,aun,even
583,587,maestro,teacher
584,589,infierno,hell
585,590,tía,aunt
586,591,crimen,crime
587,592,conocido,acquaintance
588,593,consejo,advice
589,594,ante,before
590,595,iglesia,church
591,596,intento,attempt
592,597,mayoría,majority
593,598,escena,scene
594,599,piso,floor
595,600,señal,signal
596,601,honor,honor
597,602,abrir,to open
598,603,cerebro,brain
599,604,preguntar,to ask
600,605,cocina,kitchen
601,606,vestido,dress
602,607,inteligente,smart
603,608,caballo,horse
604,609,bar,bar
605,610,corte,court
606,611,adentro,inside
607,612,droga,drug
608,613,enseguida,immediately
609,614,agradable,pleasant
610,615,carne,meat
611,616,departamento,apartment
612,617,lindo,cute
613,618,mar,sea
614,619,duda,doubt
615,620,edificio,building
616,621,cargo,position
617,622,víctima,victim
618,623,luna,moon
619,624,energía,energy
620,625,frío,cold
621,626,baile,dance
622,627,misión,mission
623,628,izquierda,left
624,629,beber,to drink
625,630,finalmente,finally
626,631,simple,simple
627,632,regresar,to return
628,633,sacar,to take out
629,634,traer,to bring
630,635,opinión,opinion
631,636,apenas,hardly
632,637,cerveza,beer
633,638,reina,queen
634,639,temprano,early
635,640,tema,topic
636,641,prisión,prison
637,642,porqué,reason
638,643,público,public
639,644,salvar,to save
640,645,partido,game
641,646,causa,cause
642,647,caliente,hot
643,648,sargento,sergeant
644,649,cenar,to have dinner
645,651,banco,bank
646,652,existir,to exist
647,653,ben,Ben
648,654,zona,zone
649,655,destino,destiny
650,656,base,base
651,657,soler,to tend to
652,658,cliente,client
653,659,encuentro,meeting
654,660,pelea,fight
655,661,san,Saint
656,662,norte,north
657,663,coronel,colonel
658,664,apuesto,handsome
659,665,peligroso,dangerous
660,666,té,tea
661,667,excepto,except
662,668,juicio,trial
663,669,llave,key
664,670,equivocado,wrong
665,671,posición,position
666,672,trasero,butt
667,673,espalda,back
668,674,excelente,excellent
669,675,éxito,success
670,676,ventana,window
671,677,especie,species
672,678,diferencia,difference
673,679,pedir,to ask
674,680,ejemplo,example
675,681,radio,radio
676,682,leer,to read
677,683,calma,calm
678,684,hogar,home
679,685,fondo,bottom
680,686,humano,human
681,687,tí,you
682,688,unido,united
683,689,planeta,planet
684,690,respecto,respect
685,691,regreso,return
686,693,parar,to stop
687,694,lleno,full
688,695,respeto,respect
689,696,debajo,under
690,697,escribir,to write
691,698,estación,station
692,699,pista,track
693,701,enfermo,sick
694,702,doler,to hurt
695,703,ocupado,busy
696,704,correr,to run
697,705,nivel,level
698,706,experiencia,experience
699,707,salida,exit
700,708,confiar,to trust
701,709,zapato,shoe
702,710,color,color
703,711,vistazo,glance
704,712,nena,girl
705,713,juez,judge
706,714,paciente,patient
707,715,bolsa,bag
708,716,arte,art
709,717,bailar,to dance
710,718,sur,south
711,719,banda,band
712,720,aprender,to learn
713,721,precio,price
714,722,completo,complete
715,723,santo,saint
716,724,culpable,guilty
717,725,gana,desire
718,726,azul,blue
719,727,comandante,commander
720,728,acción,action
721,729,regla,rule
722,730,obra,work
723,731,esperanza,hope
724,732,cuestión,question
725,733,molestar,to annoy
726,734,bill,bill
727,735,informe,report
728,736,río,river
729,737,bienvenido,welcome
730,738,tocar,to touch
731,739,contar,to count
732,740,interior,interior
733,741,apartamento,apartment
734,742,principal,main
735,743,perdonar,to forgive
736,744,golpe,blow
737,745,estilo,style
738,746,nueve,nine
739,747,definitivamente,definitely
740,748,bomba,bomb
741,749,guardia,guard
742,750,pistola,gun
743,751,probar,to try
744,752,majestad,majesty
745,753,marcha,parade
746,754,común,common
747,755,aquel,that
748,756,vuelo,flight
749,757,nota,note
750,758,valor,value
751,759,suyo,theirs
752,760,objetivo,objective
753,761,repente,sudden
754,762,rojo,red
755,763,bromear,to joke
756,764,entrada,entry
757,765,doble,double
758,766,evitar,to avoid
759,767,máquina,machine
760,768,cuello,neck
761,769,animal,animal
762,770,acaso,perhaps
763,771,pareja,couple
764,772,verano,summer
765,773,mentira,lie
766,774,tarjeta,card
767,775,preparado,prepared
768,776,flor,flower
769,777,vos,you (informal)
770,778,opción,option
771,779,isla,island
772,780,cerrar,to close
773,781,piel,skin
774,782,enemigo,enemy
775,783,exacto,exact
776,784,justicia,justice
777,785,obviamente,obviously
778,786,despertar,to wake up
779,787,calor,heat
780,788,referir,to refer
781,789,batalla,battle
782,790,fantástico,fantastic
783,791,brazo,arm
784,792,absolutamente,absolutely
785,793,escapar,to escape
786,794,bosque,forest
787,795,gay,gay
788,796,pierna,leg
789,797,visita,visit
790,798,movimiento,movement
791,799,rico,rich
792,800,inocente,innocent
793,801,pesar,sorrow
794,802,absoluto,absolute
795,803,vacaciones,vacation
796,804,cine,cinema
797,805,brillante,brilliant
798,806,confianza,confidence
799,807,vuestro,yours (informal plural)
800,808,especialmente,especially
801,809,embarazada,pregnant
802,810,pantalón,pants
803,811,defensa,defense
804,812,estupendo,great
805,813,presión,pressure
806,814,inmediatamente,immediately
807,815,testigo,witness
808,816,olvidar,to forget
809,817,soldado,soldier
810,818,resultar,to result
811,819,depender,to depend
812,820,motivo,motive
813,821,inglés,English
814,822,estudio,study
815,823,sentimiento,feeling
816,824,propósito,purpose
817,825,partir,to depart
818,826,metro,subway
819,827,ridículo,ridiculous
820,828,dama,lady
821,829,operación,operation
822,830,empresa,company
823,831,laboratorio,laboratory
824,832,elección,choice
825,833,menudo,often
826,834,beso,kiss
827,835,copa,glass
828,836,conversación,conversation
829,837,espíritu,spirit
830,838,cansado,tired
831,839,interesar,to interest
832,840,casado,married
833,841,enorme,huge
834,842,fe,faith
835,843,mostrar,to show
836,844,trampa,trap
837,845,memoria,memory
838,846,contrario,opposite
839,847,subir,to go up
840,848,turno,turn
841,849,preocupado,worried
842,850,restaurante,restaurant
843,851,calmar,to calm
844,852,caer,to fall
845,853,leche,milk
846,854,preferir,to prefer
847,855,red,net
848,856,solamente,only
849,857,taxi,taxi
850,858,anillo,ring
851,859,héroe,hero
852,860,decidir,to decide
853,861,responsable,responsible
854,862,trago,drink
855,863,árbol,tree
856,864,diente,tooth
857,865,encantado,delighted
858,866,camión,truck
859,867,vender,to sell
860,868,detener,to stop
861,869,luchar,to fight
862,870,cabo,end
863,871,ruido,noise
864,872,lucha,struggle
865,873,reloj,watch
866,874,gato,cat
867,875,averiguar,to find out
868,876,volar,to fly
869,877,colegio,school
870,878,sonido,sound
871,879,pasado,past
872,880,código,code
873,881,imagen,image
874,882,riesgo,risk
875,883,pan,bread
876,884,hielo,ice
877,885,prensa,press
878,886,caminar,to walk
879,887,televisión,television
880,888,coger,to grab
881,889,posibilidad,possibility
882,890,asiento,seat
883,891,herir,to hurt
884,892,seguramente,surely
885,893,proyecto,project
886,894,pared,wall
887,895,sospechoso,suspect
888,896,naturaleza,nature
889,897,silla,chair
890,898,arreglar,to fix
891,899,obtener,to obtain
892,900,señoría,Your Honor
893,901,cantidad,quantity
894,902,papa,Pope
895,903,llorar,to cry
896,904,familiar,family
897,905,desastre,disaster
898,906,política,politics
899,907,nosotras,we (feminine)
900,908,enfermedad,illness
901,909,colega,colleague
902,910,príncipe,prince
903,911,verde,green
904,912,nervioso,nervous
905,913,inspector,inspector
906,914,servir,to serve
907,915,playa,beach
908,916,cantar,to sing
909,917,velocidad,speed
910,918,total,total
911,919,cabello,hair
912,920,suficientemente,sufficiently
913,921,huella,trace
914,922,unidad,unit
915,923,cuchillo,knife
916,924,tontería,nonsense
917,925,emergencia,emergency
918,926,robo,robbery
919,927,permitir,to permit
920,928,parque,park
921,929,roto,broken
922,930,serie,series
923,931,evidencia,evidence
924,932,botella,bottle
925,933,viento,wind
926,934,mando,command
927,935,apoyo,support
928,936,bala,bullet
929,937,tiro,shot
930,938,época,era
931,939,puente,bridge
932,940,distancia,distance
933,941,desear,to wish
934,942,pelear,to fight
935,943,echar,to throw
936,944,descanso,break
937,945,área,area
938,946,orgulloso,proud
939,947,dato,data
940,948,espectáculo,show
941,949,magia,magic
942,950,nacional,national
943,951,universo,universe
944,952,nariz,nose
945,953,vergüenza,shame
946,954,monstruo,monster
947,955,princesa,princess
948,956,autobús,bus
949,957,cuidar,to take care of
950,958,huevo,egg
951,959,paseo,walk
952,960,detalle,detail
953,961,belleza,beauty
954,962,abierto,open
955,963,enviar,to send
956,964,ministro,minister
957,965,conducir,to drive
958,966,aceptar,to accept
959,967,contrato,contract
960,968,viernes,Friday
961,969,hecho,fact
962,970,sociedad,society
963,971,carga,load
964,972,presente,present
965,973,uso,use
966,974,dedo,finger
967,975,oferta,offer
968,976,proteger,to protect
969,977,recibir,to receive
970,978,agradecer,to thank
971,979,robar,to steal
972,980,enamorado,in love
973,981,oeste,west
974,982,herida,wound
975,983,despacio,slowly
976,984,directamente,directly
977,985,inmediato,immediate
978,987,oscuro,dark
979,988,mercado,market
980,989,cerdo,pig
981,990,líder,leader
982,991,jurado,jury
983,992,acordar,to agree
984,993,desaparecido,missing
985,994,últimamente,lately
986,995,piedra,stone
987,996,intención,intention
988,997,humor,humor
989,998,ángel,angel
990,999,peso,weight
991,1000,asesinar,to assassinate
992,1001,directo,direct
993,1002,central,central
994,1003,contento,happy
995,1004,oscuridad,darkness
996,1005,actuar,to act
997,1006,comenzar,to begin
998,1007,privado,private
999,1008,mirada,look
1000,1009,romper,to break
1001,1010,fiscal,prosecutor
1002,1011,jardín,garden
1003,1012,natural,natural
1004,1013,gratis,free
1005,1014,costar,to cost
1006,1015,amenaza,threat
